Neighborhood,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Gr_Liv_Area,Total_Bsmt_SF,Garage_Cars,Full_Bath,Bedroom_AbvGr,Fireplaces,Lot_Area,House_Age,Years_Since_Remod,Bldg_Type,Sale_Type,Sale_Price
NoRidge,1960,2003,8,1,3285,1840,2,2,1,1,10994,50,7,1Fam,COD,610315
NoRidge,1967,1998,1,3,3486,978,2,2,3,0,21966,43,12,2fmCon,COD,487096
BrkSide,1924,1973,3,7,2618,1327,3,3,3,1,5231,86,37,1Fam,WD,259413
Gilbert,1911,1933,7,3,2820,916,2,1,3,0,16890,99,77,1Fam,WD,314860
Mitchel,1925,1937,9,3,1710,1270,3,1,4,1,14313,85,73,1Fam,WD,320773
NAmes,2001,2005,8,2,1526,1104,4,1,2,1,19421,9,5,Twnhs,COD,290382
Crawfor,2009,2010,8,9,1808,1146,2,1,3,0,9592,1,0,1Fam,WD,365856
CollgCr,1911,2002,9,4,521,361,2,2,3,0,1677,99,8,1Fam,WD,249914
ClearCr,1942,1950,10,6,665,315,0,3,5,1,20260,68,60,1Fam,New,339239
Veenker,1950,2006,3,2,1833,1345,2,2,4,2,9238,60,4,TwnhsE,WD,351302
ClearCr,1936,1970,8,9,3422,2098,2,3,3,0,10492,74,40,1Fam,WD,476278
Mitchel,1945,1965,1,7,2000,1984,3,1,5,1,24715,65,45,1Fam,WD,259734
Crawfor,1952,2009,8,5,997,386,2,3,3,0,4743,58,1,1Fam,WD,303225
NAmes,1987,2004,7,7,933,891,4,1,2,1,5166,23,6,1Fam,WD,228631
ClearCr,1979,1979,8,4,3305,1391,2,3,3,1,18821,31,31,1Fam,WD,477784
Crawfor,1912,1983,1,7,2781,1004,2,1,3,1,20911,98,27,1Fam,WD,301169
Gilbert,1988,2006,6,2,1336,1299,2,3,3,2,19904,22,4,2fmCon,WD,318182
Crawfor,1953,2001,7,7,2193,1784,2,1,4,0,16132,57,9,1Fam,WD,362327
NWAmes,1956,1972,5,4,1162,615,3,2,4,0,13232,54,38,1Fam,COD,243100
Timber,1903,1945,5,4,1224,502,2,2,3,2,3474,107,65,Duplex,WD,310592
CollgCr,1974,2004,7,1,875,49,1,2,3,0,12361,36,6,TwnhsE,WD,264789
NoRidge,1995,1996,3,3,3277,1818,2,2,2,1,2758,15,14,1Fam,WD,535062
Somerst,1948,1953,6,5,3817,3153,2,3,3,1,8552,62,57,1Fam,WD,524639
CollgCr,1906,1991,7,5,802,301,3,2,2,1,20994,104,19,1Fam,WD,264970
Gilbert,2009,2010,1,2,2952,2184,4,2,3,0,10934,1,0,1Fam,WD,369921
IDOTRR,1910,1976,2,4,4359,2085,1,1,3,0,15028,100,34,1Fam,ConLD,257225
Crawfor,1991,2002,4,1,2186,1718,2,2,4,1,20637,19,8,1Fam,WD,337190
NWAmes,1953,1988,8,9,1207,724,2,2,2,0,23678,57,22,TwnhsE,WD,271271
CollgCr,2004,2007,10,1,1416,771,4,3,3,1,20559,6,3,1Fam,New,445803
Gilbert,1986,1998,6,6,2568,1651,3,2,3,1,16508,24,12,1Fam,WD,396915
NridgHt,1944,2009,1,7,756,360,2,2,2,0,13364,66,1,1Fam,WD,287974
Timber,1922,1923,10,3,898,518,2,1,3,0,1919,88,87,1Fam,WD,327165
Somerst,1927,1941,5,1,4100,3064,1,1,3,2,10344,83,69,1Fam,WD,496010
CollgCr,2006,2010,7,7,550,519,2,2,3,1,4371,4,0,1Fam,COD,264791
NridgHt,2010,2010,6,3,2994,1072,2,2,4,1,16702,0,0,1Fam,WD,612650
StoneBr,1956,1972,9,6,3841,2967,2,1,3,2,14601,54,38,1Fam,WD,683646
Veenker,1925,1931,8,6,3374,1375,2,1,4,1,2367,85,79,TwnhsE,COD,469547
IDOTRR,1924,1951,4,4,1094,776,2,2,2,2,17738,86,59,1Fam,WD,162642
Somerst,1953,1966,5,6,1317,565,2,1,4,0,12679,57,44,Duplex,WD,292939
CollgCr,1928,1971,7,4,1135,756,2,3,2,1,9504,82,39,1Fam,WD,303184
StoneBr,1982,1998,8,8,4373,2013,1,1,2,0,17658,28,12,TwnhsE,ConLD,704827
Crawfor,1996,2009,5,9,3833,1707,1,1,2,1,22616,14,1,1Fam,WD,442864
Veenker,1935,2004,9,2,3936,1660,1,2,3,1,22011,75,6,TwnhsE,WD,552117
Timber,1913,2000,10,7,1572,1112,3,2,3,0,17113,97,10,1Fam,WD,421808
CollgCr,1977,1982,4,9,4089,2736,1,2,5,0,22476,33,28,1Fam,ConLD,468306
NridgHt,1934,1960,4,9,2152,1702,3,2,4,1,3742,76,50,1Fam,New,539559
NridgHt,1929,2010,8,5,1641,719,2,2,3,0,14315,81,0,1Fam,WD,487119
Timber,1991,1995,1,1,1976,1457,2,2,3,1,3988,19,15,1Fam,New,372787
NridgHt,1916,1939,8,6,1274,886,3,2,3,0,19396,94,71,TwnhsE,New,515674
NoRidge,1966,2003,5,8,4436,1980,2,2,4,2,7116,44,7,1Fam,WD,719898
Somerst,1979,1980,1,1,3520,1830,2,2,4,0,20655,31,30,1Fam,WD,416379
Mitchel,2009,2010,4,2,2470,1501,2,2,3,1,19527,1,0,1Fam,WD,306723
Crawfor,1929,1975,2,1,4457,2095,3,2,3,0,1523,81,35,1Fam,WD,414269
CollgCr,1992,2006,4,5,2164,1108,2,2,4,0,3837,18,4,1Fam,WD,344556
Veenker,1944,1967,8,2,896,648,2,3,2,0,20827,66,43,1Fam,WD,337350
BrkSide,1978,1978,5,4,3230,1344,2,2,2,1,14091,32,32,Duplex,WD,303828
Somerst,2009,2010,1,1,3598,2407,2,1,3,0,9522,1,0,1Fam,WD,445266
NoRidge,1988,1999,7,7,3258,2557,2,3,4,1,6226,22,11,TwnhsE,New,747110
Crawfor,1950,1961,1,8,1895,1199,2,1,3,0,19600,60,49,1Fam,WD,272904
NoRidge,2001,2009,9,5,4470,2938,2,1,5,1,8594,9,1,TwnhsE,WD,794961
Somerst,2005,2007,3,2,4397,1466,2,2,3,1,5633,5,3,1Fam,New,538543
CollgCr,1946,1973,3,8,4428,3476,3,2,3,1,24413,64,37,1Fam,WD,478016
NAmes,1952,1991,6,1,1620,734,3,3,3,0,2244,58,19,1Fam,COD,229446
CollgCr,1963,1969,10,7,1028,670,3,2,4,1,22061,47,41,1Fam,WD,359586
NWAmes,1937,1959,6,1,1184,962,1,3,3,1,7440,73,51,1Fam,WD,231887
IDOTRR,1963,1983,6,6,3160,1985,2,1,3,0,1549,47,27,1Fam,WD,264604
NoRidge,1986,1987,1,6,2733,2313,3,1,2,0,24696,24,23,1Fam,WD,523467
Veenker,1988,1998,5,5,3243,1813,1,2,3,0,7717,22,12,1Fam,WD,481597
Somerst,2005,2010,6,2,2762,1017,0,3,4,0,20933,5,0,1Fam,WD,405083
ClearCr,1906,1940,8,2,3822,2888,3,2,3,0,12434,104,70,1Fam,WD,494430
ClearCr,1921,1962,1,9,2763,842,2,1,4,0,23109,89,48,Twnhs,WD,325027
BrkSide,1980,2007,5,5,2576,1959,2,1,4,1,9368,30,3,1Fam,WD,268132
NWAmes,1981,2007,3,5,601,144,2,1,2,0,21773,29,3,1Fam,WD,191698
Crawfor,1940,1963,2,7,622,639,3,2,4,0,9451,70,47,1Fam,WD,197502
Veenker,1973,1980,8,6,2601,955,2,1,3,0,13089,37,30,1Fam,COD,434963
Mitchel,1909,1961,7,2,1806,908,3,3,2,1,16519,101,49,TwnhsE,WD,275520
IDOTRR,1956,1963,10,1,2137,1397,2,2,3,0,16191,54,47,Twnhs,WD,275805
Mitchel,1906,1909,7,5,1640,739,2,2,3,1,23659,104,101,TwnhsE,WD,266451
NridgHt,1949,1975,5,4,1115,623,2,1,3,1,21239,61,35,TwnhsE,WD,358673
Gilbert,2001,2004,9,3,1056,409,2,1,2,1,9845,9,6,Twnhs,COD,304663
NridgHt,1990,1994,5,2,613,241,2,2,4,0,12593,20,16,1Fam,Oth,354289
Timber,1951,1983,2,2,3402,1625,2,3,4,1,7761,59,27,TwnhsE,WD,436343
NridgHt,1932,1980,3,4,2066,1451,3,2,3,0,20198,78,30,2fmCon,WD,434543
Crawfor,1900,1997,4,2,3223,1722,2,3,3,2,21340,110,13,1Fam,WD,387810
Gilbert,2007,2008,5,4,1476,637,2,2,1,1,16672,3,2,1Fam,WD,296123
NoRidge,1952,1959,3,3,1200,1184,2,1,3,1,22150,58,51,1Fam,WD,345857
Somerst,1959,1997,7,9,1816,1200,3,1,3,2,10308,51,13,2fmCon,WD,405679
ClearCr,1933,1995,5,7,3766,1659,2,2,3,1,20933,77,15,1Fam,WD,486818
Somerst,1903,1949,5,3,2839,1549,2,2,2,0,22527,107,61,1Fam,WD,386499
NoRidge,1916,1941,6,8,4458,3664,3,2,4,0,6804,94,69,1Fam,WD,710755
ClearCr,1903,1959,7,9,760,374,2,2,3,1,19809,107,51,1Fam,WD,272614
NWAmes,1942,1978,10,7,3778,2577,2,2,3,1,8345,68,32,Duplex,New,484757
NridgHt,1989,1990,10,6,3111,1906,2,3,3,1,8310,21,20,2fmCon,WD,709687
NoRidge,1903,1909,8,4,2596,975,2,1,3,1,16728,107,101,Twnhs,COD,491486
Somerst,1900,1939,9,5,1529,1009,2,2,2,0,3957,110,71,1Fam,WD,337893
BrkSide,1970,1997,4,8,878,627,0,2,3,1,8382,40,13,TwnhsE,WD,192018
Gilbert,1993,1999,5,3,3965,2027,3,2,3,1,5741,17,11,1Fam,COD,453208
Gilbert,1949,2010,5,2,2409,1687,1,2,1,0,20993,61,0,1Fam,WD,310808
Somerst,1972,2010,8,3,2771,1781,2,3,1,1,12229,38,0,1Fam,WD,451014
Crawfor,1960,1987,9,7,1546,1206,1,2,3,1,14049,50,23,1Fam,WD,360858
NridgHt,1934,1986,7,8,1507,969,2,2,2,1,6745,76,24,Twnhs,COD,453262
Gilbert,1907,2008,5,1,3204,2276,1,1,3,1,11319,103,2,1Fam,WD,359516
BrkSide,1923,1926,3,7,609,604,2,2,3,0,5940,87,84,TwnhsE,WD,125871
Crawfor,1982,1991,1,9,3271,967,2,2,3,0,9110,28,19,1Fam,WD,361269
NAmes,1935,1959,9,3,4383,3058,1,2,5,1,3498,75,51,1Fam,WD,434020
NWAmes,1949,1955,5,3,3100,2161,2,3,3,1,19015,61,55,1Fam,WD,366058
NoRidge,1942,1969,9,8,1922,580,3,2,4,0,3492,68,41,1Fam,WD,511135
BrkSide,1926,1994,10,4,3743,1980,2,2,4,1,15368,84,16,Twnhs,WD,369185
NridgHt,1931,1997,4,8,1505,446,3,0,4,2,17296,79,13,1Fam,New,476296
CollgCr,1977,2007,5,5,1197,794,3,1,3,2,6540,33,3,1Fam,WD,284907
StoneBr,1917,1936,4,3,3273,2198,4,1,4,1,18596,93,74,2fmCon,New,593702
NridgHt,1927,2009,2,4,805,802,3,1,4,0,1714,83,1,1Fam,WD,309190
ClearCr,1928,1938,1,4,4135,1829,2,2,3,1,7246,82,72,1Fam,WD,420740
Veenker,1915,1981,8,8,2105,1456,4,2,3,0,24865,95,29,1Fam,WD,440052
CollgCr,1998,2004,4,6,2231,1070,3,2,5,1,5269,12,6,1Fam,WD,351138
Crawfor,1946,1952,5,7,1458,826,3,2,3,0,6367,64,58,Twnhs,New,298589
NridgHt,1958,1980,6,9,1453,983,0,2,3,1,18964,52,30,1Fam,WD,440547
NoRidge,1930,1990,8,6,1674,1018,4,2,4,1,11117,80,20,1Fam,WD,494058
CollgCr,1903,1973,8,3,3999,2960,3,2,3,1,11961,107,37,1Fam,WD,491037
Somerst,1936,1969,7,3,3168,2540,3,3,2,1,18358,74,41,1Fam,WD,478991
NWAmes,1916,1934,4,3,4038,1403,1,1,3,0,10823,94,76,1Fam,WD,362242
Gilbert,1938,1995,6,2,3177,1749,2,3,3,1,18746,72,15,1Fam,WD,388837
NAmes,1947,1955,4,1,3424,2149,4,2,4,0,10503,63,55,1Fam,WD,317349
Gilbert,1945,1992,7,1,2130,1298,2,2,3,0,16015,65,18,1Fam,WD,315826
ClearCr,1989,2007,1,4,2291,740,2,1,4,2,5772,21,3,1Fam,WD,331076
Gilbert,1947,1964,5,3,3103,1888,3,1,3,1,10178,63,46,1Fam,WD,354875
Veenker,1938,1978,10,5,2471,1406,1,2,3,1,16249,72,32,1Fam,WD,471827
Veenker,2004,2008,10,9,566,259,2,2,2,1,20992,6,2,TwnhsE,WD,389313
Mitchel,1903,2008,4,8,1679,1334,2,1,3,1,18151,107,2,1Fam,New,247528
ClearCr,1929,1953,7,9,1334,555,2,2,4,1,21757,81,57,1Fam,WD,308184
Mitchel,1929,2006,9,5,705,0,2,2,3,1,12663,81,4,1Fam,WD,231940
Mitchel,1921,1945,5,8,3333,1189,2,2,4,2,8031,89,65,Twnhs,WD,356394
NAmes,1974,1992,4,4,654,765,1,3,3,1,20285,36,18,TwnhsE,WD,192243
BrkSide,1965,2003,9,5,2214,1684,2,2,2,1,22793,45,7,1Fam,WD,289458
ClearCr,2007,2009,5,3,2032,1562,3,2,2,1,20200,3,1,1Fam,WD,378594
Veenker,1911,1989,9,5,2095,1054,2,1,4,0,17164,99,21,1Fam,WD,403236
Crawfor,1993,2008,8,3,2545,1876,2,1,3,1,19085,17,2,Duplex,WD,405263
Somerst,1935,1961,4,5,3645,2252,1,3,3,2,23070,75,49,1Fam,WD,459618
Crawfor,1917,1990,7,5,3620,2769,3,1,3,0,18160,93,20,1Fam,WD,440036
NWAmes,1989,1992,5,6,3330,2340,4,2,3,0,23211,21,18,1Fam,WD,405262
Gilbert,1952,2002,10,9,1990,815,2,2,3,1,18514,58,8,1Fam,WD,374125
Somerst,1970,1988,4,1,3132,1510,2,3,3,0,20469,40,22,1Fam,WD,439216
StoneBr,1900,1927,5,6,1207,358,2,2,5,1,24545,110,83,1Fam,WD,338259
ClearCr,1957,1977,5,1,2434,1150,3,2,3,0,8900,53,33,1Fam,WD,350695
StoneBr,1989,2003,9,6,678,492,2,2,2,0,2637,21,7,1Fam,WD,401492
NAmes,1986,1999,9,2,1571,1168,2,3,3,1,8468,24,11,1Fam,WD,290722
Somerst,1989,1989,6,8,1595,1144,2,3,3,0,3213,21,21,1Fam,New,389840
StoneBr,2008,2009,4,3,612,496,4,2,3,1,10740,2,1,1Fam,WD,388783
NridgHt,1905,1987,2,6,1256,495,1,2,4,1,11275,105,23,TwnhsE,WD,320793
Gilbert,1969,1998,3,6,1396,444,4,2,4,1,4851,41,12,1Fam,WD,279453
Gilbert,1943,1964,2,4,2426,1366,2,2,3,1,9593,67,46,1Fam,WD,293270
Somerst,1971,1973,5,5,3368,1725,2,2,3,0,14600,39,37,Duplex,WD,472769
NridgHt,1923,2004,6,2,658,384,2,2,4,0,11526,87,6,1Fam,WD,324600
ClearCr,1985,1995,5,8,1285,359,2,2,4,0,7715,25,15,1Fam,WD,298134
Veenker,1918,1965,2,7,2303,1758,2,2,3,0,16853,92,45,1Fam,WD,340366
Gilbert,2000,2001,5,6,2339,1106,2,2,3,1,10643,10,9,1Fam,WD,347797
Crawfor,1917,1992,9,7,3601,2448,1,3,4,0,19108,93,18,1Fam,WD,489507
Somerst,1994,1999,4,1,3668,2466,2,2,3,1,23329,16,11,1Fam,COD,519952
Timber,2000,2010,10,5,2798,899,2,1,3,0,9724,10,0,Duplex,New,577359
IDOTRR,1929,1968,2,7,2042,1746,2,2,4,1,17980,81,42,1Fam,ConLD,196308
ClearCr,1941,1942,3,1,3663,2534,3,1,4,0,5858,69,68,1Fam,WD,424057
Gilbert,1932,2004,3,2,612,445,2,2,3,0,16709,78,6,2fmCon,New,235692
StoneBr,1973,1974,9,9,758,368,2,3,3,1,14701,37,36,1Fam,New,481456
CollgCr,2000,2000,4,3,2654,955,1,2,3,1,4641,10,10,1Fam,COD,348769
NridgHt,1911,1984,1,6,1074,807,2,2,4,1,16128,99,26,1Fam,WD,308578
CollgCr,1993,1994,1,7,3961,3273,2,1,5,1,12970,17,16,1Fam,WD,440745
IDOTRR,1926,1980,7,9,3538,1359,2,3,4,1,18055,84,30,1Fam,WD,290464
Somerst,1938,2009,7,5,1881,781,2,2,3,1,22737,72,1,1Fam,WD,370131
NridgHt,1908,2008,2,4,2306,1764,1,1,1,0,15067,102,2,1Fam,WD,405858
NridgHt,1920,1979,9,2,1722,546,3,2,3,0,10433,90,31,1Fam,COD,476314
Somerst,1975,2007,9,3,2974,2040,2,3,3,1,23315,35,3,1Fam,WD,504263
StoneBr,1928,1933,5,5,2001,1351,2,1,3,0,9037,82,77,1Fam,WD,441950
NridgHt,1932,1950,3,2,1358,1095,0,2,3,0,11614,78,60,1Fam,COD,326165
NWAmes,2006,2008,3,4,4420,2382,3,3,3,0,12389,4,2,1Fam,WD,457307
ClearCr,1961,1961,3,1,4074,1779,1,0,5,0,2458,49,49,1Fam,New,475097
Veenker,1914,1946,6,4,4229,1127,3,2,1,1,22554,96,64,Twnhs,WD,535898
BrkSide,1901,1940,4,7,3465,2614,2,2,4,0,10035,109,70,2fmCon,WD,272475
NoRidge,1951,1982,8,3,4144,2674,2,2,3,0,4981,59,28,TwnhsE,WD,681328
IDOTRR,2002,2006,5,8,3691,2417,2,2,4,0,19453,8,4,1Fam,WD,288979
Veenker,1943,1959,1,6,2096,1337,3,1,3,1,9431,67,51,1Fam,Oth,303613
NAmes,1953,1960,9,6,3880,1673,2,2,1,1,10147,57,50,1Fam,New,414213
Crawfor,1917,1973,1,1,2061,648,2,0,3,0,23426,93,37,Twnhs,WD,232064
Mitchel,1902,1943,6,5,3174,2384,2,2,2,1,10135,108,67,1Fam,WD,332486
IDOTRR,1906,2003,1,3,3022,1360,3,2,2,0,13984,104,7,1Fam,WD,246345
Veenker,1942,1950,3,1,3099,1454,2,2,4,1,12607,68,60,1Fam,WD,409692
IDOTRR,1981,2004,10,8,2891,694,2,2,3,1,4981,29,6,1Fam,WD,300686
Somerst,2007,2009,5,7,3175,1171,1,2,3,2,23577,3,1,1Fam,WD,474335
Somerst,1937,1971,10,7,2683,1236,2,3,3,0,2917,73,39,1Fam,WD,441457
Somerst,1936,2006,7,4,776,252,2,3,3,0,23740,74,4,1Fam,WD,303649
CollgCr,1957,1971,10,6,2512,1900,2,2,4,0,9176,53,39,TwnhsE,WD,406330
StoneBr,1932,1984,8,9,4382,3390,2,3,3,0,8511,78,26,TwnhsE,WD,734669
CollgCr,2007,2008,9,3,4104,3486,1,3,3,0,24593,3,2,TwnhsE,WD,564818
CollgCr,1958,1977,6,9,4470,3602,2,2,4,0,18554,52,33,TwnhsE,WD,525582
NWAmes,1994,1996,9,4,2578,1572,2,2,2,0,23297,16,14,1Fam,WD,390685
NAmes,1910,1971,8,5,746,491,2,1,4,2,23885,100,39,Twnhs,WD,211716
ClearCr,1967,1990,9,7,910,658,1,2,3,0,20168,43,20,1Fam,WD,313629
Veenker,1981,1982,10,6,2574,1187,1,3,2,2,14248,29,28,TwnhsE,New,576027
Timber,1967,1988,4,8,572,358,1,2,3,1,23324,43,22,1Fam,WD,296890
StoneBr,1997,2007,9,8,1620,500,3,2,3,1,9791,13,3,1Fam,WD,534327
NridgHt,1992,2007,7,8,1172,904,2,1,4,2,20671,18,3,1Fam,WD,486435
Somerst,1987,1994,5,3,1869,678,1,1,2,1,18291,23,16,1Fam,WD,314595
Veenker,1921,1959,5,6,3023,1300,2,2,2,1,2477,89,51,TwnhsE,WD,414883
IDOTRR,1965,2007,1,7,1823,773,2,3,3,0,17293,45,3,Duplex,WD,198475
CollgCr,1943,1977,2,9,3870,3111,2,2,3,1,23437,67,33,1Fam,WD,426920
Somerst,1905,1953,10,4,786,761,2,3,4,2,10411,105,57,1Fam,WD,349013
Crawfor,1941,1986,3,5,2408,1853,2,1,3,0,18428,69,24,1Fam,WD,296376
NoRidge,1924,1961,8,8,4020,1600,2,2,4,0,8460,86,49,1Fam,WD,660619
ClearCr,1956,1963,6,1,711,370,1,2,5,1,9044,54,47,2fmCon,WD,258282
Crawfor,1984,2005,10,6,3647,2199,2,2,3,1,7802,26,5,1Fam,WD,519387
CollgCr,1954,1990,5,4,900,772,3,0,4,1,23789,56,20,1Fam,WD,272535
ClearCr,1915,2005,1,5,1154,794,3,1,3,0,12980,95,5,Twnhs,WD,219375
IDOTRR,1994,2001,9,5,3605,2609,1,1,2,1,11385,16,9,1Fam,WD,321586
NAmes,1913,1946,3,2,997,630,2,3,3,0,17370,97,64,1Fam,WD,161788
Crawfor,1938,1954,3,8,3395,2637,2,1,2,2,22107,72,56,TwnhsE,WD,373882
Crawfor,1927,1959,2,2,4087,2027,3,1,5,0,17113,83,51,TwnhsE,WD,394546
Crawfor,1995,2009,4,4,1851,712,2,2,3,1,3073,15,1,Twnhs,WD,310555
Timber,1991,2004,2,5,597,286,2,2,3,0,22856,19,6,1Fam,WD,277470
Somerst,1950,2001,9,1,2913,952,1,2,3,0,21677,60,9,1Fam,WD,443402
NridgHt,1948,2001,10,6,4300,2287,2,3,3,0,4153,62,9,1Fam,WD,789689
CollgCr,1908,1987,7,2,962,244,2,2,3,0,2040,102,23,1Fam,WD,237518
CollgCr,1957,1985,8,5,2575,1356,3,3,4,1,3711,53,25,1Fam,WD,416044
Timber,1944,1952,3,6,3260,1266,3,2,2,0,11250,66,58,1Fam,WD,448256
IDOTRR,1921,1953,6,8,3957,1350,2,1,4,0,9822,89,57,1Fam,WD,279355
BrkSide,1931,1990,10,9,772,501,2,3,4,0,12435,79,20,TwnhsE,ConLD,225227
NWAmes,1968,1996,6,6,3373,2107,1,2,3,1,23427,42,14,Twnhs,COD,417909
CollgCr,1986,1998,1,5,1650,1205,2,2,2,0,5320,24,12,1Fam,WD,242807
NAmes,1968,1988,6,4,2749,1863,2,2,2,0,20115,42,22,1Fam,WD,317005
NoRidge,1941,1998,3,2,4092,1445,1,2,4,1,20602,69,12,Duplex,ConLD,559758
Mitchel,1952,1972,3,2,3858,1540,3,1,2,2,9190,58,38,1Fam,WD,321372
NoRidge,1995,1999,3,7,2997,1042,1,2,2,1,2522,15,11,Duplex,WD,506034
Mitchel,1958,1967,10,5,1611,1058,2,2,3,1,6854,52,43,TwnhsE,WD,298186
Veenker,1973,1978,10,7,3889,2664,3,2,3,0,5726,37,32,1Fam,WD,631834
NAmes,1938,1950,8,1,518,217,3,1,3,1,10729,72,60,1Fam,WD,191102
BrkSide,1914,1978,5,1,2116,1085,3,3,3,1,2313,96,32,1Fam,WD,237873
StoneBr,1970,1989,4,5,3678,3325,1,1,3,2,21721,40,21,1Fam,WD,625506
CollgCr,1928,1984,9,2,1981,1161,3,2,2,0,10350,82,26,1Fam,WD,340714
IDOTRR,2010,2010,9,8,2858,2232,2,1,3,2,18967,0,0,2fmCon,COD,291849
CollgCr,1902,1947,1,3,911,451,3,1,3,0,4474,108,63,TwnhsE,New,170049
NAmes,1982,1989,2,1,1241,710,2,2,4,1,23450,28,21,1Fam,WD,208651
Crawfor,1909,1918,8,2,3171,2404,3,2,2,0,24565,101,92,Twnhs,WD,432263
Somerst,1991,1999,5,7,3279,2069,1,3,3,0,4124,19,11,1Fam,WD,454980
Veenker,1928,1994,7,6,3182,1887,2,3,3,1,7005,82,16,TwnhsE,WD,499471
Timber,1978,1988,1,8,3045,1885,3,2,3,0,14881,32,22,1Fam,WD,445551
NWAmes,1934,1945,10,7,2791,1623,3,2,3,1,9049,76,65,1Fam,WD,377874
Somerst,1905,1914,5,8,3237,2133,0,2,2,1,4232,105,96,1Fam,ConLD,402031
CollgCr,1911,1935,3,3,3124,1210,3,2,4,1,19881,99,75,1Fam,New,412856
CollgCr,2010,2010,10,6,1903,964,0,2,3,0,11703,0,0,1Fam,WD,386473
Crawfor,1937,1985,2,7,1014,1016,2,2,3,2,13428,73,25,TwnhsE,New,263359
NAmes,1976,2000,2,1,706,270,2,2,5,1,14957,34,10,1Fam,WD,175348
IDOTRR,1992,2002,9,1,1447,957,1,2,3,0,5843,18,8,Twnhs,WD,219644
ClearCr,1918,1979,4,7,2941,2003,0,2,3,1,5107,92,31,1Fam,New,394905
Mitchel,1966,2001,4,3,3592,2859,3,2,3,0,2009,44,9,1Fam,WD,372859
NWAmes,1907,1945,7,3,2328,1365,2,2,4,0,10960,103,65,1Fam,New,331298
Crawfor,1907,1959,10,5,4098,2030,1,2,3,1,7594,103,51,Twnhs,WD,477779
IDOTRR,1983,2008,10,6,3914,2991,3,2,3,1,13958,27,2,1Fam,WD,376618
Timber,1946,2001,2,2,3265,2374,3,3,3,0,7245,64,9,1Fam,WD,478490
NoRidge,1903,2006,3,3,2498,1887,2,3,4,0,22700,107,4,TwnhsE,WD,457075
NAmes,1950,1950,3,6,2749,1366,1,1,4,2,4542,60,60,1Fam,WD,269634
ClearCr,1984,2007,6,3,2667,1333,0,1,3,0,6410,26,3,1Fam,ConLD,368808
NAmes,1966,1969,3,5,2172,1252,2,2,3,0,8072,44,41,1Fam,WD,248209
NAmes,1944,1973,5,9,4383,3350,2,2,3,2,18942,66,37,1Fam,WD,432840
NridgHt,1907,1918,4,3,2330,1286,2,1,1,0,5800,103,92,1Fam,WD,411948
NAmes,1986,2009,3,6,2936,1369,3,2,4,1,10581,24,1,TwnhsE,New,319473
ClearCr,1915,1949,8,5,2060,1185,2,2,2,0,23387,95,61,TwnhsE,WD,354415
CollgCr,1976,1988,10,5,2347,1188,1,2,3,1,20836,34,22,1Fam,WD,415841
Crawfor,1966,1996,3,6,2781,2160,3,2,3,0,23580,44,14,1Fam,New,428592
BrkSide,1908,2009,6,6,2156,1376,2,2,3,2,9110,102,1,1Fam,ConLD,249012
NridgHt,1959,2001,7,1,1101,684,2,2,3,0,13373,51,9,1Fam,WD,395184
CollgCr,1977,1999,7,9,1843,295,3,1,5,1,20628,33,11,1Fam,WD,388266
Gilbert,1976,1979,2,5,1211,718,3,2,3,2,4533,34,31,1Fam,WD,267287
NWAmes,1970,1985,3,1,1481,788,2,0,2,2,23918,40,25,1Fam,WD,243598
Gilbert,1914,1920,10,8,1703,1122,2,2,3,0,11459,96,90,1Fam,COD,316005
NoRidge,1970,1991,10,7,3404,2442,4,2,3,1,10824,40,19,1Fam,Oth,714225
Veenker,2001,2008,4,7,1891,1376,2,2,2,0,2701,9,2,TwnhsE,WD,364095
Somerst,1997,1997,7,5,2623,1500,2,2,2,1,18132,13,13,1Fam,New,476625
Mitchel,1940,1997,2,1,3196,2555,2,2,1,0,9503,70,13,1Fam,WD,295222
Veenker,1921,1984,3,9,3197,1542,2,0,3,0,23160,89,26,1Fam,WD,424609
Timber,1923,1934,7,9,3043,1269,3,1,3,0,4175,87,76,1Fam,WD,468397
IDOTRR,2000,2006,7,8,4093,3537,2,2,2,1,10976,10,4,1Fam,ConLD,366535
NridgHt,1943,1997,10,5,3772,2750,3,1,4,1,20759,67,13,1Fam,WD,741038
IDOTRR,1900,2002,3,3,1329,704,3,1,2,0,10012,110,8,1Fam,WD,137419
Gilbert,1909,1970,1,8,3917,1536,3,2,4,1,8794,101,40,1Fam,COD,343380
Mitchel,2006,2007,3,1,3030,1002,2,2,3,2,17911,4,3,TwnhsE,WD,326703
Veenker,1979,1986,5,3,3790,1149,3,2,1,1,12590,31,24,1Fam,WD,517737
NridgHt,2009,2009,7,7,3631,1523,2,2,5,1,2009,1,1,1Fam,WD,686888
NWAmes,1971,2004,4,4,3538,2747,1,3,3,2,16063,39,6,2fmCon,WD,415162
NAmes,1955,1999,1,7,4230,1931,3,3,3,1,18524,55,11,1Fam,WD,363146
NWAmes,1988,2000,6,5,3166,2258,2,2,3,0,21134,22,10,1Fam,ConLD,408544
StoneBr,1949,2003,2,6,1049,459,1,2,4,1,5247,61,7,Twnhs,WD,311120
NWAmes,1911,1946,3,7,1145,433,1,2,3,0,20603,99,64,1Fam,COD,217254
NWAmes,1988,1999,4,7,4482,3441,1,3,2,1,21787,22,11,1Fam,WD,463237
